business,avg_stars,Sentiment_Score_neg,Sentiment_Score_pos,Sentiment_Score_remark
Stacky's Sandwich Shop,3.6666666666666665,0.033,0.209,Positive Sentiment
Cinnaholic,4.04,0.055,0.275,Positive Sentiment
Papa John's Pizza,3.857142857142857,0.062,0.257,Positive Sentiment
Lilly's Music & Social House,4.5,0.059,0.326,Positive Sentiment
Flatbreads,2.1666666666666665,0.087,0.168,Positive Sentiment
Outback Steakhouse,3.5454545454545454,0.043,0.224,Positive Sentiment
Urban Air Adventure Park - Meridian,4.166666666666667,0.077,0.132,Positive Sentiment
Chf Home Furnishings,5.0,0.052,0.121,Positive Sentiment
Osaka Sushi,4.323529411764706,0.049,0.248,Positive Sentiment
Cabelas,3.2857142857142856,0.037,0.186,Positive Sentiment
Pierre's Chocolates,4.8,0.042,0.24,Positive Sentiment
Winners Circle Pub,4.130434782608695,0.049,0.189,Positive Sentiment
Flowing Tide Pub 3,4.368421052631579,0.049,0.291,Positive Sentiment
Mayoor Indian Restaurant,4.857142857142857,0.057,0.314,Positive Sentiment
Sukho Thai,3.353846153846154,0.066,0.189,Positive Sentiment
Dermatology & Allergy Clinic For Animals,5.0,0.106,0.153,Positive Sentiment
Island Nails & Spa Salon,3.6,0.06,0.197,Positive Sentiment
Lincoln Moving & Storage,3.0,0.089,0.133,Positive Sentiment
PetSmart,4.5,0.008,0.257,Positive Sentiment
The Burg Diner,4.22,0.027,0.247,Positive Sentiment
Black Rock Pizza,3.7472527472527473,0.042,0.201,Positive Sentiment
Dune Coffee Roasters - Anacapa,4.08843537414966,0.054,0.259,Positive Sentiment
Shiraz Wine Cafe',2.2222222222222223,0.079,0.127,Positive Sentiment
El Rancho Nuevo,3.6666666666666665,0.037,0.212,Positive Sentiment
Louis Pappas Fresh Greek,3.8767123287671232,0.058,0.231,Positive Sentiment
Best Bridal Prices,2.833333333333333,0.083,0.124,Positive Sentiment
Carousel Motel,4.5,0.054,0.261,Positive Sentiment
Swiss 2 GO,4.6,0.016,0.26,Positive Sentiment
P J's Oyster Bar,3.635294117647059,0.039,0.239,Positive Sentiment
Blue Dream Vapor,4.933333333333334,0.041,0.267,Positive Sentiment
Hopewell Valley Vineyards,4.126984126984127,0.026,0.249,Positive Sentiment
Fireside Pizza Cafe,4.290697674418604,0.04,0.29,Positive Sentiment
Enterprise Rent-A-Car,4.0,0.056,0.138,Positive Sentiment
America's Best Contacts & Eyeglasses,4.0,0.029,0.065,Positive Sentiment
Shaw Store,1.6666666666666667,0.088,0.065,Negative Sentiment
Alpha Pet Spa & Salon,5.0,0.047,0.18,Positive Sentiment
Micha's,3.612903225806452,0.036,0.223,Positive Sentiment
Arizona Stagecoach,3.1875,0.079,0.153,Positive Sentiment
Song Da,4.0,0.05,0.238,Positive Sentiment
Dr. Tavel Family Eye Care,2.0,0.087,0.172,Positive Sentiment
Helzberg Diamonds,3.0,0.08,0.147,Positive Sentiment
Fray's Donut House,4.411764705882353,0.028,0.231,Positive Sentiment
Monde de Luxe Hair & Nail Studio,4.75,0.027,0.208,Positive Sentiment
Woodbury Nissan,2.357142857142857,0.093,0.125,Positive Sentiment
The Weave Bar,3.0,0.067,0.147,Positive Sentiment
Dollar Tree,5.0,0.0,0.282,Positive Sentiment
Dunkin',2.5,0.044,0.102,Positive Sentiment
Barra Rossa Ristorante & Wine Bar - Downington,2.776119402985074,0.082,0.167,Positive Sentiment
Suburban Extended Stay Hotel,4.75,0.039,0.265,Positive Sentiment
Barbacoa,3.583333333333333,0.05,0.21,Positive Sentiment
AT&T Store,5.0,0.0,0.188,Positive Sentiment
The Body Shop Center City,1.0,0.165,0.012,Negative Sentiment
Hilton Garden Inn Tampa NorthwestOldsmar,3.5,0.085,0.162,Positive Sentiment
Hertz Rent A Car,3.15,0.063,0.143,Positive Sentiment
Brown's Doughnut  & Pastry,5.0,0.041,0.337,Positive Sentiment
Sapporo Sushi,2.923076923076923,0.062,0.161,Positive Sentiment
Lama Dog Tap Room,4.372093023255814,0.033,0.277,Positive Sentiment
The Joint Chiropractic,4.9,0.045,0.271,Positive Sentiment
Burger King,3.0,0.0,0.339,Positive Sentiment
Enterprise Rent-A-Car,3.0,0.047,0.086,Positive Sentiment
Delp Video Duplication,3.6666666666666665,0.022,0.099,Positive Sentiment
Dunedin Bagels & Deli,3.4545454545454546,0.069,0.229,Positive Sentiment
Waffle House,3.142857142857143,0.101,0.199,Positive Sentiment
Reno Art Bar,4.9,0.018,0.298,Positive Sentiment
One South,3.8333333333333335,0.065,0.188,Positive Sentiment
AJ's Fine Foods,4.272,0.049,0.233,Positive Sentiment
Cajun Gourmet,2.3,0.079,0.106,Positive Sentiment
Kids R Kids of Meadow Pointe,1.0,0.053,0.085,Positive Sentiment
Hippie Hi,4.166666666666667,0.064,0.307,Positive Sentiment
OL' Henry Restaurant,4.125,0.031,0.222,Positive Sentiment
Buck's Automotive Service Center,4.7,0.009,0.139,Positive Sentiment
Salty's Island Bar & Grille,4.033816425120773,0.073,0.254,Positive Sentiment
Christiana Mall,3.886363636363636,0.069,0.212,Positive Sentiment
Diamond Eyez Nola,5.0,0.027,0.284,Positive Sentiment
Cath Coffee & Tea House,3.0,0.206,0.0,Negative Sentiment
Jet Rock Bar and Grill,2.0,0.036,0.098,Positive Sentiment
Grande Finale Designs,2.333333333333333,0.058,0.15,Positive Sentiment
Tires Plus,4.0,0.026,0.191,Positive Sentiment
Crab & Claw,4.75,0.015,0.246,Positive Sentiment
Green Tea Acupuncture,5.0,0.045,0.196,Positive Sentiment
None Such Farm Market,3.7142857142857135,0.023,0.248,Positive Sentiment
Anne and Eddie McKechnie - Tucson Real Estate Experts,5.0,0.017,0.319,Positive Sentiment
Whitney Apartments,4.5,0.025,0.222,Positive Sentiment
Lyft,2.333333333333333,0.064,0.067,Positive Sentiment
Bacon Boise,3.710526315789474,0.063,0.202,Positive Sentiment
Culligan of Tucson,1.0,0.189,0.0,Negative Sentiment
Jimmy John's,3.7,0.104,0.17,Positive Sentiment
Arby's,4.0,0.028,0.119,Positive Sentiment
Salon Tenshi,4.428571428571429,0.079,0.25,Positive Sentiment
Bull's Eye,3.625,0.085,0.125,Positive Sentiment
Adonia Skin Wellness Spa,4.333333333333333,0.054,0.182,Positive Sentiment
Suitsupply - Tampa,5.0,0.0,0.216,Positive Sentiment
Brindavan International Foods,3.333333333333333,0.066,0.134,Positive Sentiment
Dmitri's,4.014598540145985,0.06,0.219,Positive Sentiment
J & M Appliances,5.0,0.074,0.195,Positive Sentiment
Swedesboro Animal Hospital,4.0,0.06,0.073,Positive Sentiment
Sam's Brick Oven Pizza,4.32258064516129,0.022,0.299,Positive Sentiment
Mattress Factory,5.0,0.006,0.218,Positive Sentiment
Residence Inn by Marriott Philadelphia Montgomeryville,3.3846153846153846,0.065,0.241,Positive Sentiment
REI,4.444444444444445,0.012,0.24,Positive Sentiment
Midwest Sour + Wild + Funk Fest,4.0,0.043,0.256,Positive Sentiment
David's In Clayton,4.0,0.08,0.225,Positive Sentiment
Brighter Dental - Clementon,5.0,0.0,0.332,Positive Sentiment
Waffle House,3.2857142857142856,0.072,0.2,Positive Sentiment
Elegance African Hair Braiding,3.5,0.071,0.167,Positive Sentiment
Pupuseria & Cafeteria Centroamericana,4.380952380952381,0.048,0.253,Positive Sentiment
LA Fitness,3.769230769230769,0.071,0.17,Positive Sentiment
Bandy Electric Company,5.0,0.03,0.148,Positive Sentiment
Walgreens,4.666666666666667,0.048,0.298,Positive Sentiment
The Practical Chef,5.0,0.02,0.272,Positive Sentiment
HSN Outlet,4.0,0.064,0.092,Positive Sentiment
Spice Kitchen,3.555555555555556,0.038,0.235,Positive Sentiment
Manhattan Bagel,2.6,0.064,0.172,Positive Sentiment
Sno-La Snowball Lounge,4.432835820895522,0.031,0.258,Positive Sentiment
"Midtown Corkdorks Wine, Spirits & Beer",4.488888888888889,0.051,0.204,Positive Sentiment
Top Nails,2.875,0.094,0.128,Positive Sentiment
Hampton Medical Clinic,5.0,0.089,0.153,Positive Sentiment
Acadia,3.0,0.039,0.187,Positive Sentiment
Brewsters Brewing Company & Restaurant,3.3,0.042,0.211,Positive Sentiment
The Animal Clinic,4.0,0.041,0.05,Positive Sentiment
Sun Line Cruises,4.666666666666667,0.019,0.212,Positive Sentiment
Lion's Choice,3.583333333333333,0.085,0.197,Positive Sentiment
Genesis Weight and Age Management,4.5,0.048,0.176,Positive Sentiment
Verlo Mattress Factory,5.0,0.064,0.207,Positive Sentiment
Iguana's Mexican Restaurant,3.217391304347826,0.052,0.22,Positive Sentiment
Corazza Mark S MD,5.0,0.078,0.18,Positive Sentiment
Crooked Eye Brewery,4.25,0.043,0.211,Positive Sentiment
Omaha Steaks,4.0,0.0,0.241,Positive Sentiment
Jimboy's Tacos,3.2222222222222223,0.085,0.181,Positive Sentiment
South Grand Gyro Express,4.076923076923077,0.036,0.23,Positive Sentiment
Main Street Gym,4.8,0.028,0.252,Positive Sentiment
Wendy's,2.75,0.065,0.146,Positive Sentiment
Westchase Compounding Pharmacy,1.5,0.065,0.041,Negative Sentiment
Reliance The Furnace Company,4.875,0.038,0.135,Positive Sentiment
Tasty Noodle,3.931034482758621,0.035,0.203,Positive Sentiment
Fuel House Fitness Studio,3.75,0.075,0.095,Positive Sentiment
Tampa Bay Rays,3.684210526315789,0.057,0.234,Positive Sentiment
Napleton Hyundai,2.833333333333333,0.047,0.133,Positive Sentiment
Taco Suave,4.155172413793103,0.036,0.251,Positive Sentiment
Face Defined,5.0,0.079,0.263,Positive Sentiment
Db Shoes,1.75,0.067,0.073,Positive Sentiment
Hibachi 2 Go,3.4150943396226414,0.067,0.189,Positive Sentiment
Valero,2.0,0.075,0.061,Negative Sentiment
Empty Nest Cafe and Bar,2.0,0.056,0.217,Positive Sentiment
Home Spun Resale Boutique,5.0,0.041,0.35,Positive Sentiment
Silver Mine Subs,2.730769230769231,0.08,0.155,Positive Sentiment
Mitchell & Ness Nostalgia Company,1.0,0.113,0.068,Negative Sentiment
Carl's Vineland Farm Eggs,4.666666666666667,0.0,0.304,Positive Sentiment
Party City,3.0,0.119,0.181,Positive Sentiment
Buy Buy Baby,5.0,0.038,0.25,Positive Sentiment
Franks Formal Wear,4.75,0.063,0.083,Positive Sentiment
Jersey Java and Tea,3.703125,0.064,0.226,Positive Sentiment
Groomingdales,5.0,0.084,0.176,Positive Sentiment
Vantage Point Financial Group,5.0,0.0,0.283,Positive Sentiment
Mark's Appliance,4.5,0.018,0.211,Positive Sentiment
Angel's Nail & Spa,4.0,0.084,0.224,Positive Sentiment
Safeguard Self Storage,1.0,0.108,0.042,Negative Sentiment
Beneficial Bank,5.0,0.079,0.256,Positive Sentiment
Panda Express,1.5,0.074,0.149,Positive Sentiment
Yellow House Furniture,3.333333333333333,0.055,0.207,Positive Sentiment
Studio 1221,5.0,0.042,0.256,Positive Sentiment
Expert Tailor,3.5,0.078,0.145,Positive Sentiment
Moot's Kitchen,5.0,0.03,0.305,Positive Sentiment
Fifth Avenue Pediatrics,5.0,0.174,0.043,Negative Sentiment
Pizza Hut,1.8,0.069,0.074,Positive Sentiment
Temple University Hospital ,2.2222222222222223,0.118,0.134,Positive Sentiment
Black Forest Flowers And Gifts,5.0,0.0,0.128,Positive Sentiment
Plaza Bowling,4.777777777777778,0.035,0.233,Positive Sentiment
Elicia's Pizza,2.2857142857142856,0.123,0.151,Positive Sentiment
Pamper & Polish Nails,3.090909090909091,0.069,0.168,Positive Sentiment
Toscana Catering,5.0,0.029,0.222,Positive Sentiment
Office Depot,3.1666666666666665,0.082,0.124,Positive Sentiment
Hand Grenades To Go,3.6666666666666665,0.041,0.217,Positive Sentiment
Sound Stone Massage Spa,4.923076923076923,0.057,0.269,Positive Sentiment
Wax At Aqua,4.0,0.053,0.191,Positive Sentiment
Barker Diamond Company,4.5,0.054,0.208,Positive Sentiment
Krystal,2.142857142857143,0.109,0.103,Negative Sentiment
Wawa,4.666666666666667,0.027,0.187,Positive Sentiment
DK Sushi,3.5,0.052,0.177,Positive Sentiment
VP Nails,4.25,0.064,0.201,Positive Sentiment
The Blonde Salon & Spa,1.8333333333333333,0.081,0.11,Positive Sentiment
Zio's Italian Market,4.579710144927536,0.038,0.249,Positive Sentiment
Subway,2.0,0.212,0.229,Positive Sentiment
Giordano's,3.126984126984127,0.063,0.178,Positive Sentiment
Wild Birds Unlimited,4.75,0.029,0.25,Positive Sentiment
China Chef,5.0,0.0,0.476,Positive Sentiment
Sam Davis Home,4.0,0.041,0.123,Positive Sentiment
Forever 2 Wheels +,3.75,0.046,0.151,Positive Sentiment
Tractor Supply,4.0,0.071,0.14,Positive Sentiment
NeighborMD Urgent Care,2.833333333333333,0.084,0.11,Positive Sentiment
Brewerytown Taproom,2.833333333333333,0.096,0.236,Positive Sentiment
Full & Happy,5.0,0.032,0.291,Positive Sentiment
Yardley Auto Body,1.0,0.213,0.027,Negative Sentiment
Bar Twenty3,2.0,0.044,0.148,Positive Sentiment
Lasagna and More,4.0,0.045,0.249,Positive Sentiment
Cr Hooligans,2.5,0.049,0.126,Positive Sentiment
Coin Laundry,3.8333333333333335,0.033,0.209,Positive Sentiment
US Storage Centers,5.0,0.0,0.433,Positive Sentiment
Aj's Bikes and Boards,4.727272727272728,0.026,0.217,Positive Sentiment
Reno-Sparks Indian Colony Smoke Shop Reno Drive Thru,3.0,0.0,0.212,Positive Sentiment
Bike Stop Outpost,4.5,0.042,0.156,Positive Sentiment
Total Wine & More,4.421875,0.041,0.231,Positive Sentiment
Al's Finger Licking Good Bar-B-Que,4.608433734939759,0.036,0.287,Positive Sentiment
Walmart Supercenter,4.0,0.0,0.32,Positive Sentiment
Academy Sports + Outdoors,2.0,0.084,0.079,Negative Sentiment
Parker's Heating & Cooling,4.333333333333333,0.044,0.079,Positive Sentiment
QuikTrip,4.166666666666667,0.054,0.258,Positive Sentiment
Partly Cloudy Smoke Shop,3.5,0.05,0.113,Positive Sentiment
Gadaleto's Seafood Markets,4.0,0.053,0.208,Positive Sentiment
PAWS Veterinary Center,4.846153846153846,0.032,0.207,Positive Sentiment
Arepa Express,4.0,0.0,0.427,Positive Sentiment
Chinatown Friendship Gate,4.333333333333333,0.049,0.278,Positive Sentiment
Dentistry For Life,5.0,0.05,0.234,Positive Sentiment
"Available Plumbing, Inc.",3.0,0.057,0.078,Positive Sentiment
Roberts Meats And Catering,3.6857142857142855,0.041,0.222,Positive Sentiment
White's Ace Hardware At Carmel,2.333333333333333,0.033,0.165,Positive Sentiment
Betty Ann's Italian Market Florist,1.0,0.107,0.0,Negative Sentiment
Panera Bread,3.473684210526316,0.058,0.217,Positive Sentiment
The Phat Noodle,3.6666666666666665,0.08,0.239,Positive Sentiment
Spice Finch,4.68,0.033,0.276,Positive Sentiment
Morning Call Coffee Stand,4.059322033898305,0.055,0.192,Positive Sentiment
John Jay Salons,3.3846153846153846,0.087,0.127,Positive Sentiment
Breakfast Club,4.5,0.027,0.241,Positive Sentiment
Bella Dermatology,3.0,0.05,0.201,Positive Sentiment
Sakura,3.103448275862069,0.052,0.175,Positive Sentiment
Wawa,3.6666666666666665,0.094,0.176,Positive Sentiment
Charlie's Market,2.0,0.049,0.036,Negative Sentiment
The Art of Shaving,3.5,0.0,0.101,Positive Sentiment
Queen Nails,2.6666666666666665,0.048,0.18,Positive Sentiment
Cold Spring Tavern,4.234800838574423,0.046,0.221,Positive Sentiment
ShopRite of Bensalem,1.5,0.161,0.024,Negative Sentiment
Amerisleep - Tucson,5.0,0.016,0.228,Positive Sentiment
Starbucks,3.037037037037037,0.077,0.157,Positive Sentiment
Pina's Pizzaria,4.666666666666667,0.006,0.325,Positive Sentiment
Tower Health Urgent Care,3.0,0.092,0.111,Positive Sentiment
La Cucina Italian Eatery,3.4,0.071,0.189,Positive Sentiment
Visconti at Westshore,2.4285714285714284,0.077,0.132,Positive Sentiment
Pro Power Performance,5.0,0.025,0.219,Positive Sentiment
Whole Foods Market,3.555555555555556,0.046,0.182,Positive Sentiment
Genuardi's Family Markets,2.7142857142857144,0.082,0.193,Positive Sentiment
Mungenast Lexus of St Louis,4.583333333333333,0.029,0.194,Positive Sentiment
Jimmy John's,2.833333333333333,0.107,0.102,Negative Sentiment
Casa Gallardo Mexican Restaurant & Cantina,3.0,0.078,0.218,Positive Sentiment
Hendricks BBQ,3.2639405204460967,0.065,0.197,Positive Sentiment
Makoto Japanese Steakhouse,3.75,0.077,0.186,Positive Sentiment
Qubo Salon & Spa,1.0,0.097,0.047,Negative Sentiment
Idaho Cab Co,3.6,0.072,0.132,Positive Sentiment
KFC,2.142857142857143,0.075,0.099,Positive Sentiment
The New Maple Hill Restaurant,3.6666666666666665,0.043,0.216,Positive Sentiment
Henpeck Village Market,3.125,0.069,0.191,Positive Sentiment
Ice Cream 504,4.918367346938775,0.019,0.288,Positive Sentiment
Brawley's Restaurant,3.7058823529411766,0.046,0.194,Positive Sentiment
Manny's Sicilia Pizza,4.090909090909091,0.057,0.233,Positive Sentiment
Huong Sizzling Wok,3.838709677419355,0.046,0.2,Positive Sentiment
United Van Lines Movers -  Saint Louis,1.6666666666666667,0.104,0.103,Negative Sentiment
Vecchia Osteria,4.070063694267516,0.04,0.243,Positive Sentiment
Pasadena Eye Center,1.0,0.037,0.159,Positive Sentiment
Juneau's Sandwich Shop,3.0,0.021,0.103,Positive Sentiment
Farm Fresh Produce,4.857142857142857,0.025,0.202,Positive Sentiment
Shing Kee,4.2,0.047,0.233,Positive Sentiment
Shaving Grace Barbers,5.0,0.044,0.266,Positive Sentiment
PrimoHoagies,3.413793103448276,0.061,0.182,Positive Sentiment
Healthy Habits Wellness Clinic,4.0,0.202,0.329,Positive Sentiment
Radisson Hotel At Opryland,2.4545454545454546,0.089,0.133,Positive Sentiment
Salon D'malta,5.0,0.015,0.22,Positive Sentiment
Chef's Market,2.6,0.048,0.143,Positive Sentiment
Juice Bar - Hillsboro Village,3.375,0.028,0.243,Positive Sentiment
Mr Pretzels,4.0,0.026,0.281,Positive Sentiment
Moon's Kitchen Cafe,3.651162790697674,0.07,0.201,Positive Sentiment
Dimitri Eye Care,5.0,0.077,0.072,Negative Sentiment
Pasta Vino,4.090909090909091,0.03,0.348,Positive Sentiment
Acapulco Loco,2.625,0.054,0.196,Positive Sentiment
William Hill Sports Book,4.0,0.065,0.239,Positive Sentiment
The Brim Coffee House,2.4285714285714284,0.055,0.145,Positive Sentiment
Cambria Hotel Nashville Downtown,4.555555555555555,0.027,0.22,Positive Sentiment
Rangoli: Vibrant Flavors of India,4.128205128205129,0.05,0.23,Positive Sentiment
Prime 108,3.75,0.038,0.254,Positive Sentiment
SF Kitchen,4.297619047619048,0.038,0.238,Positive Sentiment
PrimeTime Donair,3.727272727272727,0.055,0.155,Positive Sentiment
P&P Grocery,4.4,0.066,0.217,Positive Sentiment
Taco Rey,3.75,0.04,0.175,Positive Sentiment
Catalina Smiles Dentistry,4.0,0.0,0.22,Positive Sentiment
Virtuous Tax Associates,5.0,0.0,0.11,Positive Sentiment
Jump On The School Bus,4.9375,0.025,0.277,Positive Sentiment
East Fork Roofing,4.75,0.0,0.172,Positive Sentiment
Foot and Ankle Institute of Nevada,5.0,0.0,0.452,Positive Sentiment
Alpine Lock and Key,4.962025316455696,0.049,0.227,Positive Sentiment
Vientiane Café,4.052980132450331,0.047,0.236,Positive Sentiment
Piazza Property Pros,1.0,0.0,0.0,Neutral Sentiment
Midas,1.6666666666666667,0.047,0.083,Positive Sentiment
Moe's Southwest Grill,2.3,0.089,0.153,Positive Sentiment
